Date,Holiday,Day
7/22/2018,Parents' Day 2018,Sunday
9/3/2018,Labor Day 2018,Monday
9/9/2018,Grandparents' Day 2018,Sunday
9/11/2018,Patriot Day or September 11th 2018,Tuesday
9/16/2018,Stepfamily Day 2018,Sunday
9/17/2018,Citizenship Day 2018,Monday
9/28/2018,Native American Day 2018,Friday
10/8/2018,Columbus Day 2018,Monday
10/16/2018,Boss's Day 2018,Tuesday
10/20/2018,Sweetest Day 2018,Saturday
10/31/2018,Halloween 2018,Wednesday
11/4/2018,Fall Daylight Saving 2018,Sunday
11/11/2018,Veterans' Day 2018,Sunday
11/22/2018,Thanksgiving 2018,Thursday
11/23/2018,Black Friday 2018,Friday
11/26/2018,Cyber Monday 2018,Monday
12/7/2018,Pearl Harbor Remembrance Day 2018,Friday
12/25/2018,Christmas Day 2018,Tuesday
12/31/2018,New Year's Eve 2018,Monday
1/1/2019,New Year's Day 2019,Tuesday
1/21/2019,Martin Luther King Day 2019,Monday
1/24/2019,Belly Laugh Day 2019,Thursday
2/2/2019,Groundhog Day 2019,Saturday
2/12/2019,Lincoln's Birthday 2019,Tuesday
2/14/2019,Valentine's Day 2019,Thursday
2/18/2019,Presidents Day and Washington's Birthday 2019,Monday
3/5/2019,Mardi Gras Carnival 2019,Tuesday
3/10/2019,Spring Daylight Saving 2019,Sunday
3/17/2019,St. Patrick's Day 2019,Sunday
4/1/2019,April Fool's Day 2019,Monday
4/19/2019,Good Friday 2019,Friday
4/21/2019,Easter 2019,Sunday
4/22/2019,Easter Monday 2019,Monday
4/22/2019,Earth Day 2019,Monday
5/5/2019,Cinco de Mayo 2019,Sunday
5/12/2019,Mother's Day 2019,Sunday
5/18/2019,Armed Forces Day 2019,Saturday
5/27/2019,Memorial Day 2019,Monday
6/9/2019,Pentecost 2019,Sunday
6/10/2019,Pentecost Monday 2019,Monday
6/14/2019,Flag Day 2019,Friday
6/16/2019,Father's Day 2019,Sunday
7/4/2019,Independence Day 2019,Thursday
7/28/2019,Parents' Day 2019,Sunday
9/2/2019,Labor Day 2019,Monday
9/8/2019,Grandparents' Day 2019,Sunday
9/11/2019,Patriot Day or September 11th 2019,Wednesday
9/16/2019,Stepfamily Day 2019,Monday
9/17/2019,Citizenship Day 2019,Tuesday
9/27/2019,Native American Day 2019,Friday
10/14/2019,Columbus Day 2019,Monday
10/16/2019,Boss's Day 2019,Wednesday
10/19/2019,Sweetest Day 2019,Saturday
10/31/2019,Halloween 2019,Thursday
11/3/2019,Fall Daylight Saving 2019,Sunday
11/11/2019,Veterans' Day 2019,Monday
11/28/2019,Thanksgiving 2019,Thursday
11/29/2019,Black Friday 2019,Friday
12/2/2019,Cyber Monday 2019,Monday
12/7/2019,Pearl Harbor Remembrance Day 2019,Saturday
12/25/2019,Christmas Day 2019,Wednesday
12/31/2019,New Year's Eve 2019,Tuesday
